,School_type,Local_Ed_Auth,Estab_group,School_ID,Is_Closed,School_type_2,Rel_Denom,Selective_School,School_gender,School_feeder_sixth_form,School_primary,School_sixth_form,Num_pupils_GCSEs,Pct_Boys,DISAD_pct_GCSEpup,Prog8_overall_measure,Num_GCSEpup_all_Ebacc,Pct_GCSEpup_enter_Ebacc_Maths,Pct_GCSEpup_enter_Ebacc_Science,Pct_GCSEpup_enter_Ebacc_Humanities,Pct_GCSEpup_enter_Ebacc_Lang,Pct_GCSEpup_any_qual,Pct_GCSEpup_more_onelang,Pct_GCSEpup_3_sciences,Avg_num_GCSEs_equiv_pup,Prog8_band,Teachers_FTE,TAs_FTE,Staff_non_classroom,Pupil_Teacher_ratio,Mean_Gross_FTE_Sal
2275,0,925.0,4000.0,137572.0,0.0,ACC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,1.0,195.0,56.0,25.0,0.24,13.0,99.0,99.0,95.0,15.0,99.0,1.0,12.0,8.1,2.0,87.6,20.3,26.4,15.0,37476.0
2276,0,925.0,4002.0,138783.0,0.0,AC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,94.0,44.0,31.0,0.03,17.0,99.0,99.0,97.0,17.0,99.0,1.0,12.0,8.0,3.0,28.6,8.4,12.0,18.5,35590.0
2277,0,925.0,4010.0,137873.0,0.0,ACC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,1.0,253.0,52.0,13.0,-0.38,19.0,100.0,100.0,96.0,22.0,100.0,0.0,20.0,7.7,4.0,92.6,17.6,35.9,16.3,38662.0
2278,0,925.0,4011.0,141166.0,0.0,AC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,40.0,65.0,43.0,-0.09,5.0,100.0,98.0,78.0,23.0,100.0,0.0,0.0,8.6,3.0,18.2,5.6,9.5,20.7,42072.0
2279,0,925.0,4013.0,141391.0,0.0,AC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,94.0,48.0,28.0,-0.42,10.0,100.0,100.0,59.0,14.0,100.0,1.0,0.0,7.8,4.0,34.1,7.8,11.0,14.1,35093.0
2280,0,925.0,4017.0,136479.0,0.0,ACC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,34.0,71.0,50.0,-0.38,15.0,100.0,100.0,62.0,24.0,100.0,0.0,0.0,6.9,3.0,13.4,3.4,7.2,18.1,38994.0
2281,0,925.0,4018.0,142392.0,0.0,AC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,61.0,51.0,38.0,-0.35,51.0,98.0,98.0,98.0,51.0,98.0,0.0,23.0,7.7,4.0,32.6,7.3,4.2,10.7,31093.0
2282,0,925.0,4030.0,120645.0,0.0,FD,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,132.0,61.0,33.0,-0.41,15.0,98.0,99.0,55.0,21.0,99.0,0.0,45.0,8.3,4.0,14.8,19.0,12.7,41.0,42789.0
2283,0,925.0,4035.0,144488.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,181.0,48.0,21.0,0.14,17.0,100.0,100.0,88.0,24.0,100.0,2.0,0.0,7.3,3.0,60.6,18.4,26.4,15.2,30460.0
2284,0,925.0,4039.0,144968.0,0.0,AC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,1.0,67.0,42.0,37.0,-0.5,9.0,100.0,97.0,91.0,10.0,100.0,0.0,28.0,8.1,4.0,32.7,11.3,7.9,11.5,35906.0
2285,0,925.0,4041.0,145052.0,0.0,AC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,33.0,42.0,24.0,-0.06,12.0,100.0,100.0,94.0,18.0,100.0,3.0,0.0,7.9,3.0,18.1,5.1,11.8,9.6,41021.0
2286,0,925.0,4042.0,145167.0,1.0,AC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,1.0,85.0,61.0,22.0,-0.57,18.0,98.0,98.0,80.0,33.0,96.0,0.0,0.0,7.4,5.0,38.7,8.7,6.4,13.5,36702.0
2287,0,925.0,4048.0,136968.0,0.0,ACC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,92.0,59.0,32.0,-0.39,33.0,99.0,99.0,98.0,33.0,99.0,0.0,99.0,10.5,4.0,38.8,15.0,12.2,14.7,39895.0
2288,0,925.0,4049.0,136958.0,0.0,ACC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,54.0,43.0,35.0,-0.42,4.0,100.0,100.0,94.0,4.0,100.0,0.0,63.0,8.4,4.0,21.2,6.2,11.1,15.8,38455.0
2289,0,925.0,4050.0,141581.0,0.0,ACC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,115.0,54.0,21.0,-0.24,17.0,100.0,100.0,92.0,23.0,100.0,0.0,0.0,8.9,4.0,38.2,13.3,14.3,15.1,38996.0
2290,0,925.0,4072.0,138754.0,0.0,ACC,Does not apply,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,185.0,51.0,38.0,-0.69,11.0,98.0,96.0,69.0,25.0,99.0,4.0,23.0,8.6,5.0,76.2,36.0,28.2,13.6,37281.0
2291,0,925.0,4507.0,138755.0,0.0,ACC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,0.0,117.0,46.0,25.0,-0.59,5.0,100.0,25.0,83.0,11.0,100.0,0.0,24.0,9.0,5.0,38.8,11.9,15.7,16.4,39662.0
2292,0,925.0,5407.0,136537.0,0.0,ACC,None,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,1.0,121.0,57.0,40.0,-0.7,26.0,100.0,100.0,73.0,32.0,100.0,2.0,12.0,8.3,5.0,61.8,5.3,26.4,13.8,37801.0
2293,0,925.0,5408.0,137447.0,0.0,ACC,Christian,NON SEL IN HIGHLY SEL AREA,MIXED,0.0,0.0,1.0,185.0,39.0,37.0,-0.35,54.0,100.0,100.0,92.0,58.0,100.0,3.0,19.0,8.6,4.0,80.1,19.2,27.0,16.3,41931.0
2294,0,926.0,4016.0,141177.0,0.0,AC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,206.0,51.0,19.0,-0.34,27.0,98.0,99.0,82.0,30.0,99.0,3.0,28.0,8.1,4.0,69.3,16.7,22.4,17.0,39527.0
