LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
878,4007,139816,14,6,4,14.0,5.8,1.9,11.0,"£39,341"
878,4008,140971,9,0,9,8.6,0.0,6.7,14.3,"£41,868"
878,4009,136638,61,15,26,53.9,11.9,20.2,15.9,"£41,146"
878,4010,113502,45,32,17,38.4,16.7,13.8,16.3,"£39,358"
878,4011,113503,53,11,30,43.6,6.2,20.8,17.0,"£40,018"
878,4012,136612,164,54,68,134.1,37.5,58.8,16.7,"£39,580"
878,4013,141514,28,20,7,21.4,19.1,6.1,16.9,"£34,663"
878,4014,113505,69,12,21,64.6,10.0,18.3,14.8,"£37,826"
878,4016,142805,57,16,18,51.7,13.1,15.4,17.0,"£36,716"
878,4017,141749,23,5,10,20.0,4.0,8.4,10.2,"£35,489"
878,4018,142124,10,4,6,6.3,1.9,4.1,19.6,"£38,344"
878,4019,142540,91,27,31,76.6,21.6,23.2,17.0,"£37,138"
878,4021,144392,48,11,19,43.7,8.7,15.9,15.2,"£39,322"
878,4053,138041,40,42,20,35.3,16.5,11.9,19.7,"£42,602"
878,4054,137024,37,13,28,33.5,5.9,20.3,16.9,"£39,989"
878,4055,137228,45,23,28,40.3,17.8,23.4,18.1,"£39,375"
878,4056,113511,38,9,21,28.8,6.0,14.9,18.6,"£39,002"
878,4057,113512,36,19,11,29.9,16.8,9.7,20.6,"£41,994"
878,4059,113514,86,34,29,79.1,26.7,23.5,16.7,"£39,839"
878,4060,136867,90,41,39,76.8,28.0,28.6,16.0,"£39,357"
878,4101,113518,49,4,29,41.9,3.5,20.7,15.0,"£39,304"
878,4108,136569,108,22,56,95.4,14.5,45.3,13.2,"£40,159"
878,4109,113520,82,22,29,66.1,18.7,22.9,16.3,"£37,721"
878,4110,136367,93,27,42,83.0,19.6,34.9,17.0,"£40,356"
878,4112,137176,71,16,21,64.7,12.4,18.9,15.1,"£37,562"
878,4120,136495,78,29,35,69.2,20.4,26.6,15.1,"£37,073"
878,4182,113539,89,20,39,78.9,9.8,32.6,16.0,"£39,088"
878,4183,113540,88,31,43,82.8,22.5,33.6,16.9,"£39,639"
878,4184,136336,155,42,63,140.1,37.2,57.9,17.1,"£40,864"
878,4192,113548,81,71,42,69.9,32.4,30.9,17.0,"£39,944"
878,4501,113550,68,32,21,64.2,25.8,15.6,14.9,"£37,259"
878,4607,113553,84,30,38,71.3,16.4,29.4,17.8,"£38,814"
878,5400,136366,56,3,26,44.6,2.2,18.7,19.5,"£41,111"
878,5402,136494,68,15,30,55.0,12.9,27.6,18.3,"£38,315"
878,5404,137124,69,25,44,64.6,18.7,36.0,16.3,"£36,951"
878,5405,136287,69,22,28,59.7,17.7,20.7,17.2,"£41,603"
878,6905,136200,33,21,13,29.1,13.7,10.6,14.4,"£37,047"
879,2000,139710,26,30,4,24.2,24.0,3.4,17.3,"£36,069"
879,2001,139954,8,6,5,5.0,2.6,2.1,18.6,"£37,080"
879,2002,140425,17,22,13,14.0,10.7,6.3,23.9,"£36,394"
879,2003,140676,14,16,4,11.6,8.8,1.7,16.0,"£34,546"
879,2004,141232,13,13,4,10.8,8.3,2.5,20.4,"£40,158"
879,2005,142788,21,39,4,18.1,13.3,2.4,25.3,"£37,766"
879,2006,143826,30,57,6,24.9,25.6,4.6,23.7,"£38,439"
879,2007,143827,11,11,8,10.4,7.3,5.2,15.7,"£35,207"
879,2021,139604,16,18,17,15.6,15.8,10.7,27.2,"£36,386"
879,2627,143310,23,26,11,19.8,14.8,9.1,17.8,"£35,743"
879,2630,113270,11,18,6,9.3,13.2,4.7,23.1,"£39,620"
879,2636,113274,21,10,5,18.7,9.0,3.0,18.5,"£34,835"
879,2637,113275,13,22,2,12.0,8.1,1.1,22.4,"£36,345"
879,2638,113276,10,10,4,9.2,7.0,2.2,22.5,"£39,294"
879,2639,113277,21,26,7,19.4,17.7,4.5,16.9,"£36,170"
879,2640,113278,19,17,3,14.8,11.9,2.1,18.9,"£37,611"
879,2643,113281,11,20,8,10.6,11.0,3.5,20.2,"£34,350"
879,2646,144188,19,19,13,16.9,13.6,7.3,18.6,"£37,984"
879,2657,144843,19,23,5,16.8,13.7,3.6,23.0,"£36,280"
879,2659,144844,10,7,4,9.5,5.2,2.4,23.3,"£38,281"
879,2660,113289,13,10,2,9.9,6.8,1.1,17.9,"£38,140"
879,2665,144385,11,10,5,9.3,6.7,2.9,21.5,"£37,871"
879,2668,113295,13,18,4,7.2,6.6,2.5,20.9,"£36,913"
879,2670,113297,18,37,7,16.2,15.7,3.3,20.1,"£39,759"
879,2671,113298,22,24,5,19.3,18.6,3.2,21.0,"£37,030"
879,2672,143475,15,7,8,13.3,5.0,4.0,18.6,"£38,122"
879,2674,113300,15,19,7,12.4,11.4,3.6,19.2,"£38,195"
879,2677,143307,20,25,5,16.4,12.6,4.5,25.6,"£36,693"
879,2681,143309,27,36,14,23.9,21.2,6.8,24.8,"£36,497"
879,2682,143891,11,15,5,9.2,10.0,3.4,21.3,"£39,046"
879,2683,143892,12,21,6,11.2,12.4,3.9,16.8,"£35,217"
879,2688,144933,14,15,9,9.5,7.6,3.3,20.7,"£37,034"
879,2691,139299,12,11,5,9.9,6.0,2.8,22.1,"£35,875"
879,2693,136380,21,18,6,18.4,12.7,5.3,20.7,"£33,076"
879,2694,142688,17,19,4,15.6,14.4,2.1,26.9,"£39,215"
879,2695,143473,10,14,3,8.7,5.5,1.9,23.1,"£38,344"
879,2696,143893,11,11,4,10.0,7.0,2.3,25.3,"£38,854"
879,2699,137876,11,7,10,9.9,5.3,5.1,26.9,"£34,562"
879,2701,138310,23,26,23,19.6,12.2,10.6,24.3,"£38,411"
879,2702,139289,9,6,2,8.0,4.6,1.4,28.4,"£37,361"
879,2703,143312,22,26,3,18.7,15.4,2.1,22.3,"£38,087"
