Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
456,PTBASICSHI_95,% pupils in high prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
457,PBL2BASICS_95,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
458,PGL2BASICS_95,% of girls achieving strong 9-5 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
459,PTL2BASICSEAL_95,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs and for whom English is an additional language,Yes - see 2017 methodology sheet for methodology change,,,Yes,
460,PTL2BASICSNMOB_95,% of non-mobile pupils achieving strong 9-5 passes in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,
461,PTFSM6CLA1ABASICS_16_PTQ_EE,% of disadvantaged pupils achieving A*-C in GCSE English and maths in 2016,Yes - see 2018 methodology sheet for methodology change,,,Yes,
462,PTNOTFSM6CLA1ABASICS_16_PTQ_EE,% of non-disadvantaged pupils achieving A*-C in GCSE English and maths in 2015,Yes - see 2018 methodology sheet for methodology change,,,Yes,
463,PTFSM6CLA1ABASICS_94_17,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
464,PTFSM6CLA1ABASICS_95_17,% of disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
465,PTNOTFSM6CLA1ABASICS_94_17,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
466,PTNOTFSM6CLA1ABASICS_95_17,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
467,PTmultiLan_E,Percentage of pupils entering more than one language,,,,,
468,PTtripleSci_E,"Percentage of pupils entering biology, chemistry and physics",,,,,
469,TFSM6CLA1A_16,Number of disadvantaged pupils at the end of key stage 4 in 2016,,,,Yes,
470,PTFSM6CLA1A_16,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2016,,,,Yes,
471,TNOTFSM6CLA1A_16,Number of non-disadvantaged pupils at the end of key stage 4 in 2016,,,,Yes,
472,PTNOTFSM6CLA1A_16,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2016,,,,Yes,
473,TFSM6CLA1A_17,Number of disadvantaged pupils in 2017,,,,Yes,
474,PTFSM6CLA1A_17,% of pupils who were disadvantaged in 2017,,,,Yes,
475,TNOTFSM6CLA1A_17,Number of non-disadvantaged pupils in 2017,,,,Yes,
476,PTNOTFSM6CLA1A_17,% of pupils who were not disadvantaged in 2017,,,,Yes,
477,TAVENT_E_3NG_PTQ_EE,Average number of GCSE and equivalents entries per pupil,,,,,
478,TAVENT_E_3NG_LO_PTQ_EE,Average number of GCSE and equivalents entries per pupil with low prior attainment,,,,Yes,
479,TAVENT_E_3NG_AV_PTQ_EE,Average number of GCSE and equivalents entries per pupil with middle prior attainment,,,,Yes,
480,TAVENT_E_3NG_HI_PTQ_EE,Average number of GCSE and equivalents entries per pupil with high prior attainment,,,,Yes,
481,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,Average number of GCSE and equivalents entries per disadvantaged pupil,,,,Yes,
482,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,Average number of GCSE and equivalents entries per non-disadvantaged pupil,,,,Yes,
483,TAVENT_EFSM6CLA1A_16_PTQ_EE,Average number of GCSE and equivalents entries per disadvantaged pupil in 2016,,,,Yes,
484,TAVENT_ENFSM6CLA1A_16_PTQ_EE,Average number of GCSE and equivalents entries per non-disadvantaged pupil in 2016,,,,Yes,
485,TAVENT_EFSM6CLA1A_17_PTQ_EE,Average number of KS4 entries per disadvantaged pupil in 2017,,,,Yes,
486,TAVENT_ENFSM6CLA1A_17_PTQ_EE,Average number of KS4 entries per non-disadvantaged pupil in 2017,,,,Yes,
487,TAVENT_G_PTQ_EE,Average number of GCSE entries per pupil,,,,,
488,TAVENT_GLO_PTQ_EE,Average number of GCSE entries per pupil with low prior attainment,,,,Yes,
489,TAVENT_GAV_PTQ_EE,Average number of GCSE entries per pupil with middle prior attainment,,,,Yes,
490,TAVENT_GHI_PTQ_EE,Average number of GCSE entries per pupil with high prior attainment,,,,Yes,
491,TAVENT_GFSM6CLA1A_PTQ_EE,Average number of GCSE entries per disadvantaged pupil,,,,Yes,
492,TAVENT_GNFSM6CLA1A_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil,,,,Yes,
493,TAVENT_GFSM6CLA1A_16_PTQ_EE,Average number of GCSE entries per disadvantaged pupil in 2016,,,,Yes,
494,TAVENT_GNFSM6CLA1A_16_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil in 2016,,,,Yes,
495,TAVENT_GFSM6CLA1A_17_PTQ_EE,Average number of GCSE entries per disadvantaged pupil in 2017,,,,Yes,
496,TAVENT_GNFSM6CLA1A_17_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil in 2017,,,,Yes,
497,P8_BANDING,Progress 8 banding shown on school performance tables website,,,,,
